,Unnamed: 0,id,submitdate,startdate,datestamp,Modyfikator,Grupa,Odpowiedź,Odpowiedzialność,Płeć,Rok urodzenia,Wykształcenie,Wykształcenie inne,Wykształcenie filozoficzne
0,0,1,2015-04-17 00:50:18,2015-04-17 00:49:09,2015-04-17 00:50:18,Celowo,Help,Nie,5.0,Mężczyzna,23.0,Wyższe,,Tak
1,1,2,2015-04-17 00:51:24,2015-04-17 00:49:46,2015-04-17 00:51:24,Chciał,Harm,Tak,1.0,Mężczyzna,1992.0,Wyższe,,Nie
3,3,4,2015-04-17 00:52:47,2015-04-17 00:51:04,2015-04-17 00:52:47,Zamierzał,Harm,Nie,1.0,Mężczyzna,1997.0,Średnie,,Nie
4,4,5,2015-04-17 00:53:19,2015-04-17 00:51:05,2015-04-17 00:53:19,Specjalnie,Harm,Tak,1.0,Mężczyzna,1992.0,Średnie,,Nie
6,6,7,2015-04-17 00:54:56,2015-04-17 00:52:05,2015-04-17 00:54:56,Specjalnie,Harm,Nie,1.0,Kobieta,1997.0,Średnie,,Nie
8,8,9,2015-04-17 00:53:41,2015-04-17 00:52:40,2015-04-17 00:53:41,Świadomie,Harm,Tak,2.0,Kobieta,1992.0,Średnie,,Nie
9,9,10,2015-04-17 00:54:33,2015-04-17 00:53:16,2015-04-17 00:54:33,Umyślnie,Help,Tak,1.0,Mężczyzna,1996.0,Średnie,,Nie
10,10,11,2015-04-17 00:54:32,2015-04-17 00:53:21,2015-04-17 00:54:32,Specjalnie,Help,Nie,2.0,Kobieta,21.0,Średnie,,Nie
12,12,14,2015-04-17 00:57:22,2015-04-17 00:56:01,2015-04-17 00:57:22,Celowo,Harm,Nie,5.0,Mężczyzna,1995.0,Średnie,,Nie
13,13,15,2015-04-17 01:00:05,2015-04-17 00:57:28,2015-04-17 01:00:05,Umyślnie,Harm,Nie,1.0,Kobieta,1996.0,Średnie,,Nie
14,14,16,2015-04-17 00:59:55,2015-04-17 00:58:14,2015-04-17 00:59:55,Świadomie,Harm,Tak,1.0,Kobieta,1994.0,Średnie,,Nie
15,15,17,2015-04-17 01:01:09,2015-04-17 00:59:36,2015-04-17 01:01:09,Brak przysłówka,Harm,Tak,2.0,Kobieta,1993.0,Wyższe,,Nie
16,16,18,2015-04-17 01:02:26,2015-04-17 01:01:03,2015-04-17 01:02:26,Umyślnie,Harm,Nie,1.0,Kobieta,1996.0,Podstawowe,,Nie
18,18,20,2015-04-17 01:04:07,2015-04-17 01:02:10,2015-04-17 01:04:07,Specjalnie,Harm,Nie,2.0,Kobieta,1995.0,-oth-,Policealne,Nie
19,19,21,2015-04-17 01:05:59,2015-04-17 01:02:23,2015-04-17 01:05:59,Specjalnie,Harm,Nie,1.0,Mężczyzna,1998.0,Podstawowe,,Nie
21,21,23,2015-04-17 01:11:43,2015-04-17 01:10:17,2015-04-17 01:11:43,Celowo,Harm,Tak,1.0,Kobieta,1994.0,Średnie,,Nie
22,22,24,2015-04-17 01:12:18,2015-04-17 01:10:38,2015-04-17 01:12:18,Specjalnie,Harm,Nie,1.0,Mężczyzna,1984.0,Wyższe,,Nie
23,23,25,2015-04-17 01:17:20,2015-04-17 01:11:58,2015-04-17 01:17:20,Celowo,Help,Tak,5.0,Kobieta,1993.0,Wyższe,,Nie
24,24,26,2015-04-17 01:13:30,2015-04-17 01:12:40,2015-04-17 01:13:28,Specjalnie,Harm,Tak,1.0,Kobieta,1995.0,Średnie,,Nie
27,27,29,2015-04-17 01:18:57,2015-04-17 01:17:39,2015-04-17 01:18:57,Specjalnie,Help,Nie,5.0,Kobieta,20.0,Średnie,,Nie
29,29,31,2015-04-17 01:23:22,2015-04-17 01:19:49,2015-04-17 01:23:22,Z rozmysłem,Harm,Nie,1.0,Kobieta,1995.0,-oth-,na drugim roku,Tak
32,32,34,2015-04-17 01:31:57,2015-04-17 01:30:07,2015-04-17 01:31:57,Chciał,Help,Nie,2.0,Mężczyzna,1990.0,Wyższe,,Tak
34,34,36,2015-04-17 01:34:17,2015-04-17 01:32:15,2015-04-17 01:34:17,Z rozmysłem,Harm,Tak,1.0,Kobieta,1994.0,Wyższe,,Nie
35,35,37,2015-04-17 01:37:05,2015-04-17 01:35:44,2015-04-17 01:37:05,Brak przysłówka,Help,Tak,1.0,Mężczyzna,1994.0,Średnie,,Nie
36,36,38,2015-04-17 01:38:48,2015-04-17 01:38:07,2015-04-17 01:38:48,Świadomie,Harm,Tak,1.0,Mężczyzna,1994.0,Wyższe,,Nie
37,37,39,2015-04-17 03:11:17,2015-04-17 03:09:24,2015-04-17 03:11:17,Specjalnie,Harm,Nie,2.0,Mężczyzna,1997.0,Średnie,,Nie
39,39,41,2015-04-17 07:19:00,2015-04-17 07:17:02,2015-04-17 07:19:00,Celowo,Harm,Tak,3.0,Kobieta,1998.0,Podstawowe,,Nie
42,42,44,2015-04-17 08:03:53,2015-04-17 08:01:57,2015-04-17 08:03:53,Zamierzał,Help,Nie,3.0,Kobieta,1997.0,Podstawowe,,Nie
44,44,46,2015-04-17 08:26:16,2015-04-17 08:24:45,2015-04-17 08:26:16,Zamierzał,Help,Nie,5.0,Kobieta,1995.0,Średnie,,Nie
46,46,48,2015-04-17 08:44:26,2015-04-17 08:42:42,2015-04-17 08:44:26,Chciał,Help,Nie,4.0,Mężczyzna,1992.0,Wyższe,,Tak
