"","Abused.as.adult","Number.of.CAC.checked"
"1","No","0"
"2","No","0"
"3","No","0"
"4","No","0"
"5","No","0"
"6","No","0"
"7","No","0"
"8","No","0"
"9","No","0"
"10","No","0"
"11","No","0"
"12","No","0"
"13","No","0"
"14","No","0"
"15","No","0"
"16","No","0"
"17","No","0"
"18","No","0"
"19","No","0"
"20","No","0"
"21","No","0"
"22","No","0"
"23","No","0"
"24","No","0"
"25","No","0"
"26","No","0"
"27","No","0"
"28","No","0"
"29","No","0"
"30","No","0"
"31","No","0"
"32","No","0"
"33","No","0"
"34","No","0"
"35","No","0"
"36","No","0"
"37","No","0"
"38","No","0"
"39","No","0"
"40","No","0"
"41","No","0"
"42","No","0"
"43","No","0"
"44","No","0"
"45","No","0"
"46","No","0"
"47","No","0"
"48","No","0"
"49","No","0"
"50","No","0"
"51","No","0"
"52","No","0"
"53","No","0"
"54","No","0"
"55","No","0"
"56","No","0"
"57","No","0"
"58","No","0"
"59","No","0"
"60","No","0"
"61","No","0"
"62","No","0"
"63","No","0"
"64","No","0"
"65","No","0"
"66","No","0"
"67","No","0"
"68","No","0"
"69","No","0"
"70","No","0"
"71","No","0"
"72","No","0"
"73","No","0"
"74","No","0"
"75","No","0"
"76","No","0"
"77","No","0"
"78","No","0"
"79","No","0"
"80","No","0"
"81","No","0"
"82","No","0"
"83","No","0"
"84","No","0"
"85","No","0"
"86","No","0"
"87","No","0"
"88","No","0"
"89","No","0"
"90","No","0"
"91","No","0"
"92","No","0"
"93","No","0"
"94","No","0"
"95","No","0"
"96","No","0"
"97","No","0"
"98","No","0"
"99","No","0"
"100","No","0"
"101","No","0"
"102","No","0"
"103","No","0"
"104","No","0"
"105","No","0"
"106","No","0"
"107","No","0"
"108","No","0"
"109","No","0"
"110","No","0"
"111","No","0"
"112","No","0"
"113","No","0"
"114","No","0"
"115","No","0"
"116","No","0"
"117","No","0"
"118","No","0"
"119","No","0"
"120","No","0"
"121","No","0"
"122","No","0"
"123","No","0"
"124","No","0"
"125","No","0"
"126","No","0"
"127","No","0"
"128","No","0"
"129","No","0"
"130","No","0"
"131","No","0"
"132","No","0"
"133","No","0"
"134","No","0"
"135","No","0"
"136","No","0"
"137","No","0"
"138","No","0"
"139","No","0"
"140","No","0"
"141","No","0"
"142","No","0"
"143","No","0"
