"","DeathSentence","DefendantsRace"
"1","No","White"
"2","No","White"
"3","No","White"
"4","No","White"
"5","No","Nonwhite"
"6","No","White"
"7","No","Nonwhite"
"8","No","Nonwhite"
"9","No","Nonwhite"
"10","No","White"
"11","No","White"
"12","No","White"
"13","Yes","White"
"14","No","Nonwhite"
"15","No","White"
"16","No","White"
"17","No","Nonwhite"
"18","No","White"
"19","No","White"
"20","No","White"
"21","No","White"
"22","Yes","White"
"23","No","White"
"24","No","White"
"25","No","Nonwhite"
"26","No","White"
"27","No","White"
"28","No","White"
"29","No","Nonwhite"
"30","No","White"
"31","No","White"
"32","No","White"
"33","No","White"
"34","No","Nonwhite"
"35","No","White"
"36","No","Nonwhite"
"37","No","Nonwhite"
"38","No","White"
"39","No","White"
"40","No","White"
"41","No","White"
"42","No","Nonwhite"
"43","No","Nonwhite"
"44","No","White"
"45","No","Nonwhite"
"46","No","Nonwhite"
"47","No","White"
"48","No","White"
"49","No","Nonwhite"
"50","No","Nonwhite"
"51","No","Nonwhite"
"52","No","White"
"53","No","White"
"54","No","Nonwhite"
"55","No","White"
"56","No","Nonwhite"
"57","No","White"
"58","No","Nonwhite"
"59","No","White"
"60","No","White"
"61","No","Nonwhite"
"62","No","White"
"63","No","White"
"64","Yes","White"
"65","No","White"
"66","No","White"
"67","No","Nonwhite"
"68","No","White"
"69","Yes","Nonwhite"
"70","No","Nonwhite"
"71","No","White"
"72","No","White"
"73","No","White"
"74","No","Nonwhite"
"75","No","White"
"76","No","Nonwhite"
"77","No","White"
"78","No","White"
"79","No","Nonwhite"
"80","No","White"
"81","Yes","White"
"82","No","Nonwhite"
"83","No","Nonwhite"
"84","No","White"
"85","No","Nonwhite"
"86","No","Nonwhite"
"87","No","Nonwhite"
"88","No","White"
"89","No","White"
"90","No","White"
"91","Yes","Nonwhite"
"92","No","White"
"93","No","White"
"94","No","Nonwhite"
"95","No","Nonwhite"
"96","No","White"
"97","No","White"
"98","No","White"
"99","No","Nonwhite"
"100","No","White"
"101","No","White"
"102","No","White"
"103","No","White"
"104","No","White"
"105","No","White"
"106","No","Nonwhite"
"107","Yes","Nonwhite"
"108","No","Nonwhite"
"109","No","White"
"110","No","Nonwhite"
"111","No","White"
"112","No","Nonwhite"
"113","No","Nonwhite"
"114","No","White"
"115","No","White"
"116","No","White"
"117","No","Nonwhite"
"118","No","Nonwhite"
"119","No","White"
